txn_date,userID,risk_group,risk_tier_group,credited_discount_success_only,successful_rows,transaction_rows
2022-06-01,U000004,Non-suspicious,Lower-risk,20000,1,1
2022-06-01,U000043,Non-suspicious,Lower-risk,0,0,1
2022-06-01,U000089,Non-suspicious,Lower-risk,0,0,1
2022-06-01,U000154,Non-suspicious,Lower-risk,50000,1,1
2022-06-01,U000236,Non-suspicious,Lower-risk,30000,2,3
2022-06-01,U000531,Non-suspicious,Lower-risk,10000,1,1
2022-06-01,U000835,Non-suspicious,Lower-risk,150000,3,3
2022-06-01,U000921,Non-suspicious,Lower-risk,10000,1,1
2022-06-01,U000973,Non-suspicious,Lower-risk,50000,1,1
2022-06-01,U001215,Non-suspicious,Lower-risk,50000,1,1
2022-06-01,U001315,Non-suspicious,Lower-risk,100000,2,2
2022-06-01,U001335,Non-suspicious,Lower-risk,50000,1,1
2022-06-01,U001496,Non-suspicious,Lower-risk,850000,17,17
2022-06-01,U001597,Non-suspicious,Lower-risk,50000,1,1
2022-06-01,U001670,Non-suspicious,Lower-risk,15000,2,3
2022-06-01,U001689,Non-suspicious,Lower-risk,50000,1,1
2022-06-01,U001690,Non-suspicious,Lower-risk,10000,1,2
2022-06-01,U002019,Non-suspicious,Lower-risk,50000,1,1
2022-06-01,U002072,Non-suspicious,Lower-risk,150000,3,3
2022-06-01,U002123,Non-suspicious,Lower-risk,5000,1,1
2022-06-01,U002164,Non-suspicious,Lower-risk,10000,1,1
2022-06-01,U002220,Non-suspicious,Lower-risk,10000,1,1
2022-06-01,U002278,Non-suspicious,Lower-risk,15000,1,1
2022-06-01,U002322,Non-suspicious,Lower-risk,10000,1,1
2022-06-01,U002462,Non-suspicious,Lower-risk,50000,1,1
2022-06-01,U002574,Non-suspicious,Lower-risk,15000,1,1
2022-06-01,U002760,Non-suspicious,Lower-risk,50000,1,1
2022-06-01,U002790,Non-suspicious,Lower-risk,50000,1,1
2022-06-01,U002929,Non-suspicious,Lower-risk,10000,1,1
2022-06-01,U003020,Non-suspicious,Lower-risk,125000,4,4
2022-06-01,U003102,Non-suspicious,Lower-risk,10000,1,1
2022-06-01,U003247,Non-suspicious,Lower-risk,10000,1,1
2022-06-01,U003289,Non-suspicious,Lower-risk,0,0,1
2022-06-01,U003311,Non-suspicious,Lower-risk,50000,1,1
2022-06-01,U003330,Non-suspicious,Lower-risk,5000,1,1
2022-06-01,U003431,Non-suspicious,Lower-risk,15000,1,1
2022-06-01,U003442,Non-suspicious,Lower-risk,0,0,1
2022-06-01,U003498,Non-suspicious,Lower-risk,50000,1,1
2022-06-01,U003520,Non-suspicious,Lower-risk,20000,1,1
2022-06-01,U003616,Non-suspicious,Lower-risk,150000,3,3
2022-06-01,U003786,Non-suspicious,Lower-risk,50000,1,1
2022-06-01,U003810,Non-suspicious,Lower-risk,10000,1,1
2022-06-01,U003924,Non-suspicious,Lower-risk,10000,1,2
2022-06-01,U003973,Non-suspicious,Lower-risk,50000,1,1
2022-06-01,U003984,Non-suspicious,Lower-risk,20000,1,1
2022-06-01,U004033,Non-suspicious,Lower-risk,150000,3,3
2022-06-01,U004065,Non-suspicious,Lower-risk,10000,1,1
2022-06-01,U004082,Non-suspicious,Lower-risk,50000,1,1
2022-06-01,U004244,Non-suspicious,Lower-risk,50000,1,1
2022-06-01,U004246,Non-suspicious,Lower-risk,50000,1,1
2022-06-01,U004376,Non-suspicious,Lower-risk,0,0,1
2022-06-01,U004407,Non-suspicious,Lower-risk,150000,3,3
2022-06-01,U004500,Non-suspicious,Lower-risk,30000,1,5
2022-06-01,U004587,Non-suspicious,Lower-risk,50000,1,1
2022-06-01,U004620,Non-suspicious,Lower-risk,10000,1,1
2022-06-01,U004626,Non-suspicious,Lower-risk,50000,2,2
2022-06-01,U004662,Non-suspicious,Lower-risk,10000,1,1
2022-06-01,U004690,Non-suspicious,Lower-risk,10000,1,1
2022-06-01,U004762,Non-suspicious,Lower-risk,0,0,1
2022-06-01,U004842,Non-suspicious,Lower-risk,50000,1,1
2022-06-01,U004867,Non-suspicious,Lower-risk,50000,1,1
2022-06-01,U004885,Non-suspicious,Lower-risk,10000,1,1
2022-06-01,U004938,Non-suspicious,Lower-risk,5000,1,1
2022-06-01,U004948,Non-suspicious,Lower-risk,10000,1,1
2022-06-01,U004960,Non-suspicious,Lower-risk,10000,1,1
2022-06-01,U005125,Non-suspicious,Lower-risk,10000,1,1
2022-06-01,U005335,Non-suspicious,Lower-risk,10000,1,1
2022-06-01,U005541,Non-suspicious,Lower-risk,20000,1,1
2022-06-01,U005614,Non-suspicious,Lower-risk,10000,1,1
2022-06-01,U005695,Non-suspicious,Lower-risk,10000,1,3
2022-06-01,U005715,Non-suspicious,Lower-risk,50000,1,1
2022-06-01,U005744,Non-suspicious,Lower-risk,50000,1,1
2022-06-01,U005745,Non-suspicious,Lower-risk,50000,1,1
2022-06-01,U005822,Non-suspicious,Lower-risk,50000,1,1
2022-06-01,U006006,Non-suspicious,Lower-risk,10000,1,1
2022-06-01,U006018,Non-suspicious,Lower-risk,100000,2,2
