txn_date,campaignID,promotionName,promotion_type,transaction_rows,unique_users,successful_rows,gross_discount_all_rows,credited_discount_success_only,non_success_discount_amount
2022-06-01,71,PROMO_45,cashback,704,398,704,35200000,35200000,0
2022-06-01,31,PROMO_69,voucher,329,291,258,3290000,2580000,710000
2022-06-01,33,PROMO_70,voucher,106,74,65,3710000,2275000,1435000
2022-06-01,37,PROMO_55,voucher,53,50,45,1590000,1350000,240000
2022-06-01,34,PROMO_43,voucher,74,70,62,1480000,1240000,240000
2022-06-01,42,PROMO_12,voucher,36,32,29,1440000,1160000,280000
2022-06-01,51,PROMO_08,voucher,27,25,20,810000,600000,210000
2022-06-01,36,PROMO_62,voucher,25,24,21,500000,420000,80000
2022-06-01,19,PROMO_52,voucher,40,40,40,400000,400000,0
2022-06-01,35,PROMO_33,voucher,20,20,18,400000,360000,40000
2022-06-01,72,PROMO_53,voucher,16,16,16,240000,240000,0
2022-06-01,46,PROMO_58,voucher,1,1,1,200000,200000,0
2022-06-01,49,PROMO_16,voucher,9,9,9,180000,180000,0
2022-06-01,44,PROMO_60,voucher,10,10,9,200000,180000,20000
2022-06-01,3,PROMO_22,voucher,9,9,7,180000,140000,40000
2022-06-01,4,PROMO_49,voucher,7,7,6,140000,120000,20000
2022-06-01,32,PROMO_19,voucher,27,25,24,135000,120000,15000
2022-06-01,40,PROMO_54,voucher,10,10,10,100000,100000,0
2022-06-01,6,PROMO_41,voucher,19,19,19,95000,95000,0
2022-06-01,16,PROMO_23,voucher,3,3,3,60000,60000,0
2022-06-01,59,PROMO_42,voucher,12,11,3,240000,60000,180000
2022-06-01,61,PROMO_35,voucher,2,2,2,60000,60000,0
2022-06-01,7,PROMO_11,voucher,5,5,5,50000,50000,0
2022-06-01,9,PROMO_61,voucher,9,9,9,45000,45000,0
2022-06-01,14,PROMO_63,voucher,2,2,2,40000,40000,0
2022-06-01,50,PROMO_13,voucher,2,2,2,40000,40000,0
2022-06-01,52,PROMO_04,voucher,1,1,1,30000,30000,0
2022-06-01,54,PROMO_26,voucher,1,1,1,30000,30000,0
2022-06-01,5,PROMO_20,voucher,6,6,6,30000,30000,0
2022-06-01,41,PROMO_39,voucher,3,3,3,30000,30000,0
2022-06-01,39,PROMO_06,voucher,3,3,3,30000,30000,0
2022-06-01,18,PROMO_30,voucher,1,1,1,20000,20000,0
2022-06-01,55,PROMO_47,voucher,1,1,1,15000,15000,0
2022-06-01,70,PROMO_51,voucher,1,1,1,10000,10000,0
2022-06-02,71,PROMO_45,cashback,673,384,673,33650000,33650000,0
2022-06-02,31,PROMO_69,voucher,279,257,232,2790000,2320000,470000
2022-06-02,33,PROMO_70,voucher,55,38,37,1925000,1295000,630000
2022-06-02,37,PROMO_55,voucher,39,36,36,1170000,1080000,90000
2022-06-02,34,PROMO_43,voucher,64,59,53,1280000,1060000,220000
2022-06-02,35,PROMO_33,voucher,41,40,38,820000,760000,60000
2022-06-02,42,PROMO_12,voucher,25,22,16,1000000,640000,360000
2022-06-02,51,PROMO_08,voucher,19,19,16,570000,480000,90000
2022-06-02,19,PROMO_52,voucher,40,39,40,400000,400000,0
2022-06-02,44,PROMO_60,voucher,17,16,16,340000,320000,20000
2022-06-02,72,PROMO_53,voucher,15,15,15,225000,225000,0
2022-06-02,12,PROMO_57,voucher,1,1,1,150000,150000,0
2022-06-02,36,PROMO_62,voucher,23,12,7,460000,140000,320000
2022-06-02,4,PROMO_49,voucher,9,7,7,180000,140000,40000
2022-06-02,32,PROMO_19,voucher,26,23,25,130000,125000,5000
2022-06-02,40,PROMO_54,voucher,9,9,9,90000,90000,0
2022-06-02,41,PROMO_39,voucher,8,8,7,80000,70000,10000
2022-06-02,6,PROMO_41,voucher,14,14,14,70000,70000,0
2022-06-02,49,PROMO_16,voucher,3,3,3,60000,60000,0
2022-06-02,3,PROMO_22,voucher,5,4,3,100000,60000,40000
2022-06-02,59,PROMO_42,voucher,2,2,2,40000,40000,0
2022-06-02,50,PROMO_13,voucher,2,2,2,40000,40000,0
2022-06-02,9,PROMO_61,voucher,9,8,8,45000,40000,5000
2022-06-02,7,PROMO_11,voucher,4,4,4,40000,40000,0
2022-06-02,54,PROMO_26,voucher,1,1,1,30000,30000,0
2022-06-02,57,PROMO_36,voucher,2,2,2,30000,30000,0
2022-06-02,5,PROMO_20,voucher,4,4,4,20000,20000,0
2022-06-02,14,PROMO_63,voucher,1,1,1,20000,20000,0
2022-06-02,18,PROMO_30,voucher,1,1,1,20000,20000,0
2022-06-02,63,PROMO_40,voucher,1,1,1,10000,10000,0
2022-06-02,8,PROMO_67,voucher,1,1,1,10000,10000,0
2022-06-02,13,PROMO_56,voucher,1,1,0,100000,0,100000
2022-06-02,39,PROMO_06,voucher,1,1,0,10000,0,10000
2022-06-03,71,PROMO_45,cashback,869,453,869,43450000,43450000,0
2022-06-03,33,PROMO_70,voucher,106,88,82,3710000,2870000,840000
2022-06-03,31,PROMO_69,voucher,333,312,262,3330000,2620000,710000
2022-06-03,37,PROMO_55,voucher,88,86,71,2640000,2130000,510000
2022-06-03,35,PROMO_33,voucher,107,99,85,2140000,1700000,440000
2022-06-03,34,PROMO_43,voucher,82,81,73,1640000,1460000,180000
2022-06-03,42,PROMO_12,voucher,21,21,18,840000,720000,120000
2022-06-03,51,PROMO_08,voucher,27,25,21,810000,630000,180000
2022-06-03,44,PROMO_60,voucher,31,30,27,620000,540000,80000
2022-06-03,19,PROMO_52,voucher,30,30,30,300000,300000,0
2022-06-03,36,PROMO_62,voucher,15,14,14,300000,280000,20000
2022-06-03,72,PROMO_53,voucher,18,15,14,270000,210000,60000
2022-06-03,46,PROMO_58,voucher,1,1,1,200000,200000,0
2022-06-03,52,PROMO_04,voucher,4,4,4,120000,120000,0
2022-06-03,4,PROMO_49,voucher,10,5,5,200000,100000,100000
2022-06-03,13,PROMO_56,voucher,1,1,1,100000,100000,0
