txn_date,risk_group,risk_tier_group,transaction_rows,unique_users,successful_rows,credited_discount_success_only,non_success_discount_amount
2022-06-01,Non-suspicious,Lower-risk,1445,926,1285,42780000,3280000
2022-06-01,Suspicious,Medium risk,9,2,9,410000,0
2022-06-01,Suspicious,Review,120,40,112,4320000,230000
2022-06-02,Non-suspicious,Lower-risk,1286,848,1168,38645000,2420000
2022-06-02,Suspicious,Medium risk,10,5,10,400000,0
2022-06-02,Suspicious,Review,99,38,97,4390000,50000
2022-06-03,Non-suspicious,Lower-risk,1551,987,1377,46545000,3255000
2022-06-03,Suspicious,Medium risk,50,8,47,2030000,65000
2022-06-03,Suspicious,Review,248,56,242,9725000,100000
2022-06-04,Non-suspicious,Lower-risk,1804,1063,1581,53020000,5215000
2022-06-04,Suspicious,Medium risk,60,8,59,2775000,40000
2022-06-04,Suspicious,Review,271,75,245,9460000,785000
2022-06-05,Non-suspicious,Lower-risk,1929,1126,1710,55250000,4795000
2022-06-05,Suspicious,Medium risk,35,10,34,1640000,30000
2022-06-05,Suspicious,Review,345,91,305,11905000,1300000
2022-06-06,Non-suspicious,Lower-risk,1707,1042,1524,49720000,3925000
2022-06-06,Suspicious,Medium risk,77,12,75,3470000,75000
2022-06-06,Suspicious,Review,402,102,374,14105000,855000
2022-06-07,Non-suspicious,Lower-risk,1764,1135,1572,45820000,4210000
2022-06-07,Suspicious,Medium risk,56,12,51,2390000,145000
2022-06-07,Suspicious,Review,325,91,310,12905000,450000
2022-06-08,Non-suspicious,Lower-risk,2023,1116,1702,52925000,8510000
2022-06-08,Suspicious,Medium risk,38,7,37,1750000,20000
2022-06-08,Suspicious,Review,410,95,391,15685000,550000
2022-06-09,Non-suspicious,Lower-risk,2367,1160,1950,61495000,12060000
2022-06-09,Suspicious,High risk,21,1,20,1000000,10000
2022-06-09,Suspicious,Medium risk,35,16,34,1355000,35000
2022-06-09,Suspicious,Review,233,69,223,8495000,265000
2022-06-10,Non-suspicious,Lower-risk,3181,1534,2482,79760000,21375000
2022-06-10,Suspicious,Medium risk,48,14,43,1900000,145000
2022-06-10,Suspicious,Review,409,118,376,16720000,1005000
2022-06-11,Non-suspicious,Lower-risk,3142,1608,2533,81075000,18475000
2022-06-11,Suspicious,Medium risk,89,17,85,3370000,110000
2022-06-11,Suspicious,Review,613,175,571,24630000,1185000
2022-06-12,Non-suspicious,Lower-risk,2779,1428,2376,74795000,11045000
2022-06-12,Suspicious,Medium risk,116,16,111,4720000,175000
2022-06-12,Suspicious,Review,479,131,435,19150000,1430000
2022-06-13,Non-suspicious,Lower-risk,3511,1779,2930,91880000,16340000
2022-06-13,Suspicious,Medium risk,99,19,99,4065000,0
2022-06-13,Suspicious,Review,506,124,495,20305000,295000
2022-06-14,Non-suspicious,Lower-risk,3669,2053,2971,87625000,19095000
2022-06-14,Suspicious,Medium risk,96,22,94,4160000,55000
2022-06-14,Suspicious,Review,356,105,344,15895000,305000
2022-06-15,Non-suspicious,Lower-risk,2662,1561,2202,74240000,13350000
2022-06-15,Suspicious,High risk,14,2,14,455000,0
