txn_date,transaction_rows,unique_users,successful_rows,gross_discount_all_rows,credited_discount_success_only,non_success_discount_amount
2022-06-01,1574,968,1406,51020000,47510000,3510000
2022-06-02,1395,891,1275,45905000,43435000,2470000
2022-06-03,1849,1051,1666,61720000,58300000,3420000
2022-06-04,2135,1146,1885,71295000,65255000,6040000
2022-06-05,2309,1227,2049,74920000,68795000,6125000
2022-06-06,2186,1156,1973,72150000,67295000,4855000
2022-06-07,2145,1238,1933,65920000,61115000,4805000
2022-06-08,2471,1218,2130,79440000,70360000,9080000
2022-06-09,2656,1246,2227,84715000,72345000,12370000
2022-06-10,3638,1666,2901,120905000,98380000,22525000
2022-06-11,3844,1800,3189,128845000,109075000,19770000
2022-06-12,3374,1575,2922,111315000,98665000,12650000
2022-06-13,4116,1922,3524,132885000,116250000,16635000
2022-06-14,4121,2180,3409,127135000,107680000,19455000
2022-06-15,3195,1688,2722,110655000,96965000,13690000
2022-06-16,2982,1533,2499,97425000,84100000,13325000
2022-06-17,3403,1677,2779,113420000,96075000,17345000
2022-06-18,3850,1739,2988,129095000,103500000,25595000
2022-06-19,3602,1766,2837,124850000,101880000,22970000
2022-06-20,3603,1738,2912,123110000,101645000,21465000
2022-06-21,4076,1753,3005,137110000,104520000,32590000
2022-06-22,3681,1457,2800,125905000,99885000,26020000
2022-06-23,2910,1176,2206,100835000,79240000,21595000
2022-06-24,4719,1727,3182,157250000,109875000,47375000
2022-06-25,4042,1727,3071,134535000,107090000,27445000
2022-06-26,4292,1629,2898,140370000,102665000,37705000
2022-06-27,4602,1710,3113,153785000,110220000,43565000
2022-06-28,5103,1592,2846,161820000,102445000,59375000
2022-06-29,6244,1317,2514,184985000,91350000,93635000
2022-06-30,6157,1319,2610,180235000,93130000,87105000
2022-07-01,9640,1476,2889,273570000,98870000,174700000
2022-07-02,4319,1323,2299,127625000,81945000,45680000
2022-07-03,4654,1482,2546,142920000,92455000,50465000
2022-07-04,5851,1614,2762,169640000,98825000,70815000
2022-07-05,4362,1721,2920,136140000,104910000,31230000
2022-07-06,3590,1738,2788,120730000,102745000,17985000
2022-07-07,4136,2031,3365,139480000,121235000,18245000
2022-07-08,3960,1914,3039,131930000,110855000,21075000
2022-07-09,5504,2694,4248,187655000,152915000,34740000
2022-07-10,6274,2795,4372,212035000,155770000,56265000
2022-07-11,5702,2705,4352,198575000,158705000,39870000
2022-07-12,6169,2775,4764,205785000,164450000,41335000
2022-07-13,7593,2768,5443,249190000,183050000,66140000
2022-07-14,6002,2408,4500,203915000,157365000,46550000
2022-07-15,5460,2096,3753,184925000,134035000,50890000
2022-07-16,2152,1021,2146,105670000,105595000,75000
2022-07-17,2464,1020,2460,121555000,121485000,70000
2022-07-18,2373,971,2360,116935000,116645000,290000
2022-07-19,2413,949,2402,118325000,118115000,210000
2022-07-20,3792,1842,3382,148145000,140260000,7885000
2022-07-21,3928,1944,3655,146975000,142065000,4910000
2022-07-22,4343,2093,3977,161550000,154905000,6645000
2022-07-23,4878,2686,4273,162305000,153280000,9025000
2022-07-24,5481,2911,5001,181890000,174945000,6945000
2022-07-25,5578,2942,5099,191210000,184520000,6690000
2022-07-26,6017,3162,5422,200010000,192125000,7885000
2022-07-27,5595,2954,5260,184790000,179265000,5525000
2022-07-28,5758,3162,5453,186380000,182155000,4225000
2022-07-29,3981,1858,3626,158370000,152065000,6305000
2022-07-30,2147,1210,1874,80040000,75280000,4760000
2022-07-31,2691,1508,2452,105455000,101615000,3840000
2022-08-01,3228,1702,2942,127775000,122460000,5315000
