txn_date,reportCat,reportSubCat,appName,payment_group,transaction_rows,unique_users,successful_rows,total_amount,credited_discount_success_only,non_success_discount_amount
2022-06-01,Non-payment/Unknown,Sub_27,App_52,Non-payment / reward / unknown,704,398,704,35200000,35200000,0
2022-06-01,Billing,Sub_15,App_35,Payment / merchant,99,69,60,40492078,2100000,1365000
2022-06-01,Telco,Sub_32,App_64,Payment / merchant,183,172,159,6340000,1590000,240000
2022-06-01,Billing,Sub_30,App_13,Payment / merchant,56,53,47,5510000,1370000,260000
2022-06-01,Billing,Sub_35,App_65,Payment / merchant,62,59,53,4120326,1060000,180000
2022-06-01,Telco,Sub_05,App_93,Payment / merchant,142,118,95,3650000,950000,470000
2022-06-01,Movies,Sub_07,App_24,Payment / merchant,22,22,21,3522000,720000,40000
2022-06-01,Retail,Sub_20,App_44,Payment / merchant,27,25,20,10975500,600000,210000
2022-06-01,Marketplace,Sub_25,App_101,Payment / merchant,52,52,52,18498287,590000,0
2022-06-01,Movies,Sub_07,App_23,Payment / merchant,19,15,13,4492447,490000,240000
2022-06-01,Billing,Sub_23,App_53,Payment / merchant,19,19,17,1000000,340000,40000
2022-06-01,Billing,Sub_10,App_39,Payment / merchant,15,14,12,15410000,240000,60000
2022-06-01,Game,Sub_19,App_31,Payment / merchant,19,19,18,7224600,225000,20000
2022-06-01,Traveling,Sub_02,App_11,Payment / merchant,1,1,1,5924320,200000,0
2022-06-01,Retail,Sub_06,App_29,Payment / merchant,9,9,9,583998,180000,0
2022-06-01,Telco,Sub_11,App_63,Payment / merchant,34,32,31,977000,165000,15000
2022-06-01,Billing,Sub_31,App_04,Payment / merchant,9,9,7,360000,140000,40000
2022-06-01,Marketplace,Sub_25,App_59,Payment / merchant,22,22,22,11828894,125000,0
2022-06-01,Billing,Sub_15,App_36,Payment / merchant,5,3,3,1393039,105000,70000
2022-06-01,Marketplace,Sub_25,App_102,Payment / merchant,10,10,10,1594179,100000,0
2022-06-01,Billing,Sub_35,App_96,Payment / merchant,8,7,5,991262,100000,60000
2022-06-01,Billing,Sub_10,App_61,Payment / merchant,4,4,4,4625969,80000,0
2022-06-01,Billing,Sub_10,App_49,Payment / merchant,4,4,3,10532000,60000,20000
2022-06-01,Billing,Sub_30,App_103,Payment / merchant,2,2,2,360000,60000,0
2022-06-01,FnB,Sub_16,App_57,Payment / merchant,2,2,2,271000,60000,0
2022-06-01,FnB,Sub_16,App_82,Payment / merchant,12,11,3,1200000,60000,180000
2022-06-01,Marketplace,Sub_25,App_100,Payment / merchant,5,5,5,3972660,60000,0
2022-06-01,Billing,Sub_35,App_26,Payment / merchant,2,2,2,2144835,40000,0
2022-06-01,Billing,Sub_10,App_90,Payment / merchant,2,2,2,4567906,40000,0
2022-06-01,Traveling,Sub_33,App_40,Payment / merchant,2,2,2,640000,40000,0
2022-06-01,Billing,Sub_15,App_33,Payment / merchant,1,1,1,1053036,35000,0
2022-06-01,Billing,Sub_15,App_34,Payment / merchant,1,1,1,1248709,35000,0
2022-06-01,Retail,Sub_26,App_19,Payment / merchant,1,1,1,947000,30000,0
2022-06-01,RST,Sub_18,App_17,Payment / merchant,3,3,3,246000,30000,0
2022-06-01,Retail,Sub_04,App_38,Payment / merchant,1,1,1,108150,30000,0
2022-06-01,Retail,Sub_06,App_42,Payment / merchant,1,1,1,530000,20000,0
2022-06-01,Retail,Sub_06,App_46,Payment / merchant,1,1,1,57000,20000,0
2022-06-01,Billing,Sub_23,App_06,Payment / merchant,1,1,1,130400,20000,0
2022-06-01,Billing,Sub_35,App_28,Payment / merchant,1,1,1,64128,20000,0
2022-06-01,Billing,Sub_35,App_66,Payment / merchant,1,1,1,385250,20000,0
2022-06-01,Billing,Sub_30,App_08,Payment / merchant,1,1,1,180000,20000,0
2022-06-01,Billing,Sub_30,App_09,Payment / merchant,1,1,1,99000,20000,0
2022-06-01,Traveling,Sub_01,App_45,Payment / merchant,1,1,1,200000,20000,0
2022-06-01,Traveling,Sub_33,App_02,Payment / merchant,1,1,1,300000,20000,0
2022-06-01,Traveling,Sub_33,App_03,Payment / merchant,1,1,1,540000,20000,0
2022-06-01,Traveling,Sub_33,App_10,Payment / merchant,1,1,1,310000,20000,0
2022-06-01,Telco,Sub_09,App_92,Payment / merchant,2,2,2,80000,15000,0
2022-06-01,FnB,Sub_08,App_98,Payment / merchant,1,1,1,49000,15000,0
2022-06-01,Telco,Sub_29,App_07,Payment / merchant,1,1,1,96388,10000,0
2022-06-02,Non-payment/Unknown,Sub_27,App_52,Non-payment / reward / unknown,673,384,673,33650000,33650000,0
2022-06-02,Telco,Sub_32,App_64,Payment / merchant,164,155,148,6140000,1480000,160000
2022-06-02,Billing,Sub_15,App_33,Payment / merchant,44,32,31,22540844,1085000,455000
2022-06-02,Billing,Sub_35,App_65,Payment / merchant,60,55,49,3912317,980000,220000
2022-06-02,Telco,Sub_05,App_93,Payment / merchant,107,99,78,2660000,780000,290000
2022-06-02,Billing,Sub_30,App_13,Payment / merchant,26,25,25,2500000,730000,30000
2022-06-02,Marketplace,Sub_25,App_101,Payment / merchant,52,51,52,16055028,595000,0
2022-06-02,Billing,Sub_23,App_25,Payment / merchant,23,23,23,5535456,460000,0
2022-06-02,Retail,Sub_20,App_44,Payment / merchant,17,17,14,6918300,420000,90000
2022-06-02,Movies,Sub_07,App_23,Payment / merchant,20,18,12,5845996,390000,320000
2022-06-02,Game,Sub_19,App_31,Payment / merchant,26,24,24,6406150,360000,25000
2022-06-02,Billing,Sub_30,App_08,Payment / merchant,14,12,12,2767338,360000,60000
2022-06-02,Movies,Sub_07,App_24,Payment / merchant,9,8,8,1667000,290000,40000
2022-06-02,Billing,Sub_15,App_35,Payment / merchant,11,7,6,4469055,210000,175000
2022-06-02,Telco,Sub_11,App_63,Payment / merchant,33,29,31,935000,170000,15000
2022-06-02,Billing,Sub_23,App_53,Payment / merchant,11,10,8,801000,160000,60000
2022-06-02,Marketplace,Sub_25,App_59,Payment / merchant,23,23,22,10102959,150000,10000
2022-06-02,Traveling,Sub_02,App_11,Payment / merchant,1,1,1,4075840,150000,0
2022-06-02,Billing,Sub_23,App_06,Payment / merchant,7,7,7,1290402,140000,0
2022-06-02,Billing,Sub_10,App_39,Payment / merchant,19,8,6,22942593,120000,260000
2022-06-02,Marketplace,Sub_25,App_102,Payment / merchant,9,9,9,3649130,90000,0
2022-06-02,Billing,Sub_30,App_103,Payment / merchant,6,4,4,940000,90000,40000
2022-06-02,Billing,Sub_31,App_04,Payment / merchant,5,4,3,260000,60000,40000
2022-06-02,Retail,Sub_06,App_29,Payment / merchant,3,3,3,167999,60000,0
2022-06-02,Retail,Sub_20,App_22,Payment / merchant,2,2,2,1735474,60000,0
2022-06-02,Billing,Sub_30,App_09,Payment / merchant,2,2,2,535000,40000,0
2022-06-02,Billing,Sub_35,App_96,Payment / merchant,2,2,2,609070,40000,0
2022-06-02,FnB,Sub_16,App_82,Payment / merchant,2,2,2,200000,40000,0
2022-06-02,FnB,Sub_08,App_56,Payment / merchant,2,2,2,335000,30000,0
2022-06-02,Marketplace,Sub_25,App_100,Payment / merchant,3,3,3,1146000,30000,0
2022-06-02,Retail,Sub_04,App_38,Payment / merchant,1,1,1,102000,30000,0
2022-06-02,Telco,Sub_09,App_92,Payment / merchant,3,2,3,150000,25000,0
2022-06-02,Retail,Sub_06,App_42,Payment / merchant,1,1,1,101000,20000,0
2022-06-02,Retail,Sub_06,App_46,Payment / merchant,1,1,1,53000,20000,0
2022-06-02,Traveling,Sub_33,App_03,Payment / merchant,1,1,1,420000,20000,0
2022-06-02,Traveling,Sub_01,App_45,Payment / merchant,1,1,1,520000,20000,0
2022-06-02,Billing,Sub_35,App_26,Payment / merchant,1,1,1,162150,20000,0
2022-06-02,Billing,Sub_35,App_28,Payment / merchant,1,1,1,666267,20000,0
2022-06-02,Billing,Sub_10,App_30,Payment / merchant,4,4,1,8033116,20000,60000
2022-06-02,Entertainment,Sub_34,App_05,Payment / merchant,1,1,1,165000,10000,0
2022-06-02,Telco,Sub_29,App_15,Payment / merchant,2,1,1,160000,10000,10000
2022-06-02,Traveling,Sub_02,App_21,Payment / merchant,1,1,0,3447000,0,100000
2022-06-02,RST,Sub_18,App_17,Payment / merchant,1,1,0,84000,0,10000
2022-06-03,Non-payment/Unknown,Sub_27,App_52,Non-payment / reward / unknown,869,453,869,43450000,43450000,0
