txn_date,campaignID,promotionName,promotion_type,transaction_rows,unique_users,successful_rows,gross_discount_all_rows,credited_discount_success_only,non_success_discount_amount
2022-06-01,9080,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]Ref_CB_50K",cashback,704,398,704,35200000,35200000,0
2022-06-01,8932,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]Điện thoại_VC_10K@20K",voucher,329,291,258,3290000,2580000,710000
2022-06-01,8934,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]Điện_VC_35K@70K",voucher,106,74,65,3710000,2275000,1435000
2022-06-01,8938,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]Truyền hình_VC_30K@100K",voucher,53,50,45,1590000,1350000,240000
2022-06-01,8935,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]Nước_VC_20K@40K",voucher,74,70,62,1480000,1240000,240000
2022-06-01,8943,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]CGV_VC_40K@120K",voucher,36,32,29,1440000,1160000,280000
2022-06-01,8953,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]BigC_VC_30K@400K",voucher,27,25,20,810000,600000,210000
2022-06-01,8937,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]Vay_VC_20K@1M",voucher,25,24,21,500000,420000,80000
2022-06-01,8911,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]TikTok_VC_10K@200K",voucher,40,40,40,400000,400000,0
2022-06-01,8936,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]Internet_VC_20K@40K",voucher,20,20,18,400000,360000,40000
2022-06-01,9268,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]TikTok_VC_15K@89K",voucher,16,16,16,240000,240000,0
2022-06-01,8947,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]VMB_VC_200K@3.5M",voucher,1,1,1,200000,200000,0
2022-06-01,8951,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]CircleK_VC_20K@50K",voucher,9,9,9,180000,180000,0
2022-06-01,8945,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]VNG Game_VC_20K@100K",voucher,10,10,9,200000,180000,20000
2022-06-01,11156,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]ETC_VC_20K@40K",voucher,9,9,7,180000,140000,40000
2022-06-01,11157,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]TV Cable_VC_20K@40K",voucher,7,7,6,140000,120000,20000
2022-06-01,8933,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]Data_VC_5K@10K",voucher,27,25,24,135000,120000,15000
2022-06-01,8941,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]Tiki_VC_10K@150K",voucher,10,10,10,100000,100000,0
2022-06-01,8898,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]Lazada_VC_5K@200K",voucher,19,19,19,95000,95000,0
2022-06-01,8908,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]FUTA_VC_20K@200K",voucher,3,3,3,60000,60000,0
2022-06-01,8962,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]Lotteria_VC_20K@100K",voucher,12,11,3,240000,60000,180000
2022-06-01,8964,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]KFC_VC_30K@100K",voucher,2,2,2,60000,60000,0
2022-06-01,8899,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]CGV_VC_10K@200K",voucher,5,5,5,50000,50000,0
2022-06-01,8901,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]VNG Game_VC_5K@200K",voucher,9,9,9,45000,45000,0
2022-06-01,8906,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]Vexere_VC_20K@200K",voucher,2,2,2,40000,40000,0
2022-06-01,8952,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]CVS_VC_20K@50K",voucher,2,2,2,40000,40000,0
2022-06-01,8954,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]BHX_VC_30K@300K",voucher,1,1,1,30000,30000,0
2022-06-01,8957,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]Fahasa_VC_30K@100K",voucher,1,1,1,30000,30000,0
2022-06-01,11158,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]Data_VC_5K@50K",voucher,6,6,6,30000,30000,0
2022-06-01,8942,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]Lazada_VC_10K@150K",voucher,3,3,3,30000,30000,0
2022-06-01,8940,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]Baemin_VC_10K@60K",voucher,3,3,3,30000,30000,0
2022-06-01,8910,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]Go2Joy_VC_20K@100K",voucher,1,1,1,20000,20000,0
2022-06-01,8958,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]TCH_VC_15K@40K",voucher,1,1,1,15000,15000,0
2022-06-01,9078,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]TikTok_VC_10K@100K",voucher,1,1,1,10000,10000,0
2022-06-02,9080,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]Ref_CB_50K",cashback,673,384,673,33650000,33650000,0
2022-06-02,8932,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]Điện thoại_VC_10K@20K",voucher,279,257,232,2790000,2320000,470000
2022-06-02,8934,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]Điện_VC_35K@70K",voucher,55,38,37,1925000,1295000,630000
2022-06-02,8938,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]Truyền hình_VC_30K@100K",voucher,39,36,36,1170000,1080000,90000
2022-06-02,8935,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]Nước_VC_20K@40K",voucher,64,59,53,1280000,1060000,220000
2022-06-02,8936,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]Internet_VC_20K@40K",voucher,41,40,38,820000,760000,60000
2022-06-02,8943,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]CGV_VC_40K@120K",voucher,25,22,16,1000000,640000,360000
2022-06-02,8953,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]BigC_VC_30K@400K",voucher,19,19,16,570000,480000,90000
2022-06-02,8911,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]TikTok_VC_10K@200K",voucher,40,39,40,400000,400000,0
2022-06-02,8945,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]VNG Game_VC_20K@100K",voucher,17,16,16,340000,320000,20000
2022-06-02,9268,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]TikTok_VC_15K@89K",voucher,15,15,15,225000,225000,0
2022-06-02,8904,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]VMB_VC_150K@4M",voucher,1,1,1,150000,150000,0
2022-06-02,8937,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]Vay_VC_20K@1M",voucher,23,12,7,460000,140000,320000
2022-06-02,11157,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]TV Cable_VC_20K@40K",voucher,9,7,7,180000,140000,40000
2022-06-02,8933,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]Data_VC_5K@10K",voucher,26,23,25,130000,125000,5000
2022-06-02,8941,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]Tiki_VC_10K@150K",voucher,9,9,9,90000,90000,0
2022-06-02,8942,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]Lazada_VC_10K@150K",voucher,8,8,7,80000,70000,10000
2022-06-02,8898,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]Lazada_VC_5K@200K",voucher,14,14,14,70000,70000,0
2022-06-02,8951,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]CircleK_VC_20K@50K",voucher,3,3,3,60000,60000,0
