cohort_week,week_number,cohort_users,retained_users,retention_rate_pct
2022-05-30,0,6487,6487,100.00
2022-05-30,1,6487,3327,51.29
2022-05-30,2,6487,2940,45.32
2022-05-30,3,6487,2471,38.09
2022-05-30,4,6487,2184,33.67
2022-05-30,5,6487,2386,36.78
2022-05-30,6,6487,2384,36.75
2022-05-30,7,6487,2274,35.05
2022-05-30,8,6487,2097,32.33
2022-05-30,9,6487,1000,15.42
2022-06-06,0,9274,9274,100.00
2022-06-06,1,9274,4020,43.35
2022-06-06,2,9274,2507,27.03
2022-06-06,3,9274,1923,20.74
2022-06-06,4,9274,2193,23.65
2022-06-06,5,9274,2539,27.38
2022-06-06,6,9274,2164,23.33
2022-06-06,7,9274,1824,19.67
2022-06-06,8,9274,780,8.41
2022-06-13,0,8475,8475,100.00
2022-06-13,1,8475,2657,31.35
2022-06-13,2,8475,1621,19.13
2022-06-13,3,8475,1545,18.23
2022-06-13,4,8475,1979,23.35
2022-06-13,5,8475,1708,20.15
2022-06-13,6,8475,1285,15.16
2022-06-13,7,8475,534,6.30
2022-06-20,0,7282,7282,100.00
2022-06-20,1,7282,1876,25.76
2022-06-20,2,7282,1359,18.66
2022-06-20,3,7282,1525,20.94
2022-06-20,4,7282,1418,19.47
2022-06-20,5,7282,1171,16.08
2022-06-20,6,7282,405,5.56
2022-06-27,0,6363,6363,100.00
2022-06-27,1,6363,1284,20.18
2022-06-27,2,6363,1211,19.03
2022-06-27,3,6363,985,15.48
2022-06-27,4,6363,934,14.68
2022-06-27,5,6363,386,6.07
2022-07-04,0,8670,8670,100.00
2022-07-04,1,8670,1583,18.26
2022-07-04,2,8670,1179,13.60
2022-07-04,3,8670,1017,11.73
2022-07-04,4,8670,424,4.89
2022-07-11,0,11492,11492,100.00
2022-07-11,1,11492,1522,13.24
2022-07-11,2,11492,1303,11.34
2022-07-11,3,11492,459,3.99
2022-07-18,0,7709,7709,100.00
2022-07-18,1,7709,1564,20.29
2022-07-18,2,7709,501,6.50
2022-07-25,0,12418,12418,100.00
2022-07-25,1,12418,641,5.16
2022-08-01,0,1422,1422,100.00
