reportCat,reportSubCat,appName,transaction_rows,unique_users,successful_rows,total_amount,credited_discount_success_only
Non-payment/Unknown,Sub_27,App_52,103910,36185,103910,5184200000,5195500000
Telco,Sub_05,App_93,29285,23610,20105,624240000,201050000
Billing,Sub_30,App_08,17400,10893,9739,2596451516,285490000
Telco,Sub_32,App_64,14332,12630,11611,451550000,116110000
Billing,Sub_15,App_35,13897,6137,5566,3821154737,194810000
Billing,Sub_15,App_36,9713,4651,4044,2212845477,141540000
Billing,Sub_23,App_06,8328,4979,4584,854168983,91680000
Billing,Sub_35,App_65,7953,4043,3700,625028774,74000000
Billing,Sub_15,App_37,7670,3931,3468,2132762506,121380000
Billing,Sub_15,App_34,5921,3320,2928,2108400806,102480000
Billing,Sub_30,App_13,4274,1962,1717,403424712,50000000
Billing,Sub_35,App_96,3604,2741,2529,453894975,50580000
Marketplace,Sub_25,App_101,3282,2897,2980,1005671450,35475000
Billing,Sub_23,App_53,2807,1363,1132,169109416,22640000
Movies,Sub_07,App_23,2713,1273,1141,454978042,40780000
Retail,Sub_20,App_44,2271,1683,1544,953393700,46220000
Telco,Sub_11,App_63,1735,1474,1495,50905500,8565000
Marketplace,Sub_25,App_59,1657,1575,1599,964682554,10630000
Game,Sub_19,App_31,1585,1476,1447,418714335,19490000
Billing,Sub_31,App_04,1552,876,820,77404000,16400000
Billing,Sub_15,App_33,1210,763,694,713030372,24290000
Movies,Sub_07,App_24,1175,600,561,170494632,20490000
Billing,Sub_15,App_95,1063,541,462,297393163,16170000
Billing,Sub_35,App_28,732,589,515,83153341,10300000
Marketplace,Sub_25,App_102,546,407,351,107605418,3510000
Billing,Sub_23,App_25,510,428,397,150830381,7940000
Retail,Sub_20,App_86,419,388,367,176214600,10980000
Retail,Sub_26,App_18,359,283,255,138924000,7590000
Billing,Sub_10,App_49,348,309,278,461435924,5560000
Telco,Sub_09,App_92,288,224,254,16256000,2130000
Billing,Sub_10,App_39,282,183,163,347401120,3260000
Marketplace,Sub_25,App_100,273,219,217,156834456,2530000
Retail,Sub_06,App_29,271,263,258,16746989,5140000
Telco,Sub_29,App_15,249,227,221,16797409,2210000
Billing,Sub_30,App_103,206,180,169,43461550,4350000
Billing,Sub_35,App_26,146,46,37,14579275,740000
FnB,Sub_16,App_82,135,123,103,16065000,2060000
Billing,Sub_35,App_74,132,88,83,24363717,1660000
FnB,Sub_16,App_57,126,115,114,17766000,3370000
Retail,Sub_20,App_22,113,107,104,106127490,2940000
RST,Sub_18,App_17,102,95,95,10001690,950000
Retail,Sub_04,App_38,98,97,96,25423250,2350000
Billing,Sub_35,App_71,97,91,82,10600043,1640000
Billing,Sub_35,App_27,90,82,78,18664309,1560000
Retail,Sub_06,App_42,73,70,69,5953000,1380000
Telco,Sub_29,App_07,73,71,70,11951075,700000
Billing,Sub_35,App_77,72,65,63,18546833,1260000
Traveling,Sub_33,App_40,70,60,60,34015000,1200000
Traveling,Sub_33,App_02,67,65,63,23465000,1260000
Traveling,Sub_02,App_11,65,44,41,354298456,6650000
Billing,Sub_31,App_104,63,62,59,7800000,1180000
Billing,Sub_10,App_61,61,55,52,84066751,1040000
Traveling,Sub_33,App_03,61,56,59,42563100,1570000
Retail,Sub_26,App_19,58,53,48,27436000,1420000
Billing,Sub_10,App_60,54,44,42,99746000,840000
Retail,Sub_04,App_41,50,46,47,22223744,1110000
Billing,Sub_30,App_09,45,44,44,12708924,1090000
Retail,Sub_06,App_46,44,42,41,2875000,820000
FnB,Sub_17,App_43,42,37,37,42219021,1750000
Movies,Sub_07,App_83,35,34,33,9969180,960000
Billing,Sub_10,App_30,33,24,20,69905576,400000
Billing,Sub_14,App_88,29,29,29,45337300,725000
Billing,Sub_30,App_55,29,21,21,9116000,510000
FnB,Sub_08,App_98,29,29,29,2139000,435000
Entertainment,Sub_34,App_05,28,27,27,6084000,490000
Billing,Sub_35,App_66,28,28,28,5642848,560000
Billing,Sub_10,App_90,28,28,28,56123193,560000
Billing,Sub_35,App_75,27,26,26,8196239,520000
FnB,Sub_08,App_97,25,25,25,2649400,390000
Billing,Sub_35,App_68,21,16,15,7835690,300000
FnB,Sub_08,App_56,19,18,18,1687600,270000
Billing,Sub_10,App_89,18,18,18,41413127,360000
Billing,Sub_35,App_69,16,15,15,2053570,300000
Traveling,Sub_01,App_45,16,12,10,5642800,200000
Traveling,Sub_33,App_10,15,14,14,6082000,350000
Billing,Sub_35,App_76,15,13,10,1825653,200000
Billing,Sub_35,App_73,14,14,13,2436400,260000
Traveling,Sub_02,App_21,13,11,8,72122000,1350000
Retail,Sub_06,App_01,12,12,12,668000,240000
Retail,Sub_20,App_58,9,9,9,8146500,180000
Billing,Sub_35,App_72,9,6,6,895650,120000
Billing,Sub_35,App_67,8,8,8,1428267,160000
FnB,Sub_16,App_91,8,8,7,1405000,140000
3PL,Sub_24,App_16,8,4,7,1088000,105000
Billing,Sub_10,App_50,7,6,5,13180000,100000
Billing,Sub_22,App_85,7,7,7,434250,70000
FnB,Sub_28,App_32,6,6,6,1752500,180000
FnB,Sub_03,App_84,6,6,5,325000,75000
Traveling,Sub_02,App_47,6,6,4,32708500,600000
Traveling,Sub_02,App_12,6,5,3,57598000,550000
FnB,Sub_28,App_80,5,5,5,916750,150000
Billing,Sub_10,App_62,3,3,2,6180920,40000
Billing,Sub_21,App_79,2,2,2,17357200,20000
Billing,Sub_35,App_70,2,2,2,316756,40000
FnB,Sub_08,App_99,1,1,1,59000,15000
FnB,Sub_28,App_81,1,1,1,225000,30000
Other Services,Sub_13,App_78,1,1,1,292000,15000
Billing,Sub_22,App_20,1,1,1,20000,10000
Billing,Sub_14,App_14,1,1,1,1400000,25000
Billing,Sub_14,App_54,1,1,1,636300,25000
Billing,Sub_30,App_87,1,1,1,140000,30000
Billing,Sub_30,App_51,1,1,1,200000,30000
RST,Sub_24,App_48,1,1,1,48000,50000
Telco,Sub_12,App_94,1,1,1,50000,5000
